,,,"Author, editor or organization",Year derived,Title,Subtitle,Reference type,Periodical,DOI name,Volume,Number,Date,Page range,Keywords,Categories,StartDate (= Custom field 1)
TRUE,FALSE,FALSE,"Crombé, Philippe",2018,Abrupt cooling events during the Early Holocene and their potential impact on the environment and human behaviour along the southern North Sea basin (NW Europe),,Journal Article,J. Quaternary Sci. (Journal of Quaternary Science),10.1002/jqs.2962,33,3,,353–367,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 4.2 Abrupt; 4.4 Rapid; 4.61 Marked Difference; 4.90 Radical; 5.3.6 Faunal abundance; 5.4.4 Pollen; 5.6.1 Lithics; 5.10.8 Sediment; 5.15.1 Radiocarbon; 5.15.2 Time Series; 5.34 Lit. Review; 6.1.2 Numerical; 6.2.2 Review; 7.2 Populations; 7.4 Adaptation; 7.5 Climate change; 7.11 Land use & landscape changes; 7.19 Cultural change; 7.26 Ecology and ecosystems; 7.30 Archaeology; 7.31 Conflict; 7.51 Uncertainty (data); 7.73 Equifinality; 7.74 Territoriality; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 11.3.6 Western Europe; 12.3.2 Climatic cooling (e.g., 4.2 ka event); 13.9 8.2 kya event; 13.52 Pre-Boreal Oscillation; 13.53 9.3 kya; 14.7 Palaeo Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Mendoza-Cantú, Ania; Heydrich, Silke Cram; Cervantes, Irene Sommer; Orozco, Oralia Oropeza",2011,Identification of environmentally vulnerable areas with priority for prevention and management of pipeline crude oil spills,,Journal Article,Journal of environmental management,10.1016/j.jenvman.2011.02.008,92,7,,1706–1713,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.2 Analogously; 3.3 Subjectively/Visually; 4.15 Sensitivity; 4.39 Destructive; 4.76 Extremes; 4.83 Perturbation; 4.101 Susceptibility; 5.3.6 Faunal abundance; 5.10.8 Sediment; 5.16.3 GIS; 5.24 Indeces (Composite); 5.30 Topography; 6.1.2 Numerical; 6.2.1 Visual; 7.6 Human activity; 7.7 Health & psychology; 7.8 Management; 7.17 Habitat destruction; 7.24 Vulnerability; 7.26 Ecology and ecosystems; 7.28 Industrialization & infrastructure; 7.86 Crude Oil Spills; 9.2 Discovery-driven; 11.5.1.3 Veracruz; 12.4.1 Flood; 12.4.5 Hurricane; 12.4.11 Severe precipitation; 14.6 Engineering; 16.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Coumou, Dim; Rahmstorf, Stefan",2012,A decade of weather extremes,,Journal Article,Nature Clim Change (Nature Climate Change),10.1038/NCLIMATE1452,2,7,,491–496,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.2 Analogously; 3.4 Statistically; 4.10 Anomalous; 4.12 Intensity; 4.13 Impact; 4.17 Magnitude; 4.18 High-magnitude; 4.23 Overwhelm/Threshold; 4.28 Severe; 4.30 Devastative; 4.32 Rare; 4.39 Destructive; 4.49 Nonlinearity; 4.52 Superlative (somethig-est); 4.62 Widespread; 4.65 Unprecedented; 4.66 Multiplicative (x times more); 4.72 Amplification; 4.73 Record high; 4.86 Outbreak; 4.87 Exceptional; 4.88 Outlier; 5.13.8 Temperature; 5.15.2 Time Series; 5.34 Lit. Review; 6.2.2 Review; 7.5 Climate change; 7.6 Human activity; 7.7 Health & psychology; 7.10 Agriculture; 7.21 Loss and damage; 7.29 Attribution; 7.39 Human-environment dynamics; 7.53 Trending Extremes; 7.66 Non-stationarity; 7.67 Feedbacks; 7.70 Extremes are relative; 7.71 Extreme Event Statistics; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 9.3 Question-driven; 9.5 Review; 11.1 Global; 12.4.1 Flood; 12.4.2 Storms; 12.4.3 Drought; 12.4.5.1 Cyclone; 12.4.9 Severe heat/heat wave; 12.4.11 Severe precipitation; 12.4.20 Extreme Weather Event; 13.3 Hurricane Katrina; 13.51 Pakistan Flood 2010; 14.3 Climate Science; 16.1 Completed; 18 Cluster 2; 21 Complete set,
TRUE,FALSE,FALSE,"Jiang, DaBang; Zhang, Ying; Sun, JianQi",2009,Ensemble projection of 1–3°C warming in China,,Journal Article,Chin. Sci. Bull. (Chinese Science Bulletin),10.1007/s11434-009-0313-1,54,18,,3326–3334,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.2 Analogously; 4.12 Intensity; 4.13 Impact; 4.20 Frequency; 5.13.1 Climate Models (simulation); 6.1.2 Numerical; 7.3 Risk; 7.5 Climate change; 7.7 Health & psychology; 7.17 Habitat destruction; 7.21 Loss and damage; 7.24 Vulnerability; 7.25 Climate & circulation; 7.38 Sustainability; 7.53 Trending Extremes; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.2 Discovery-driven; 10 Chronology; 11.4.1 China; 12.4.1 Flood; 12.4.3 Drought; 12.4.9 Severe heat/heat wave; 12.4.20 Extreme Weather Event; 12.4.21 Frost; 13.54 Drought, Chongqing 2006; 13.55 Flood, Huaihe Valley 2007; 13.56 Cold, South China 2008; 13.57 Drought, Northern China 2009; 14.3 Climate Science; 16.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Bakker, J.; Paulissen, E.; Kaniewski, D.; Poblome, J.; Laet, V. de; Verstraeten, G.; Waelkens, M.",2013,"Climate, people, fire and vegetation: new insights into vegetation dynamics in the Eastern Mediterranean since the 1st century AD",,Journal Article,Clim. Past (Climate of the Past),10.5194/cp-9-57-2013,9,1,,57–87,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.17 Magnitude; 4.46 Drastic (change); 4.46.1 Major...change; 4.52 Superlative (somethig-est); 4.85 pronounced; 4.103 Massive; 5.4.4 Pollen; 5.15.2 Time Series; 5.18.2 Charcoal Concentration Records; 6.1.1 Statistical; 6.1.2 Numerical; 7.2 Populations; 7.5 Climate change; 7.10 Agriculture; 7.11 Land use & landscape changes; 7.26 Ecology and ecosystems; 7.39 Human-environment dynamics; 7.41 Scale; 7.55 Spatial Context; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10 Chronology; 11.4.2 Anatolia; 12.3.6 Arid Event (Climatic); 13.31 Medieval Warm Period; 13.32 Little Ice Age; 14.7 Palaeo Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Pricope, Narcisa G.; Husak, Gregory; Lopez-Carr, David; Funk, Christopher; Michaelsen, Joel",2013,The climate-population nexus in the East African Horn: Emerging degradation trends in rangeland and pastoral livelihood zones,,Journal Article,Global Environmental Change,10.1016/j.gloenvcha.2013.10.002,23,6,,1525–1541,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.4 Statistically; 4.10 Anomalous; 4.20 Frequency; 4.29 Dramatic effect; 4.42 Significant; 4.52 Superlative (somethig-est); 4.62 Widespread; 4.65 Unprecedented; 4.69 Shift; 5.5.2 Population data (modern); 5.13.10 Precipitation; 5.15.2 Time Series; 5.16.2 Satellite Imagery; 5.16.3 GIS; 5.17.1 Vegetation Index; 5.24 Indeces (Composite); 6.1.1 Statistical; 7.2 Populations; 7.3 Risk; 7.5 Climate change; 7.9 Mitigation; 7.11 Land use & landscape changes; 7.12 Resource security; 7.17 Habitat destruction; 7.24 Vulnerability; 7.25 Climate & circulation; 7.26 Ecology and ecosystems; 7.67 Feedbacks; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.6.1 East African Horn; 12.4.3 Drought; 13.73 1998 El Nino; 14.4 Ecology; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Jones, Carleton",2019,Climate Change and Farming Response in a Temperate Oceanic Zone—the Exploitation of a Karstic Region in Western Ireland in the Third and Second Millennia BC,,Journal Article,The Journal of Island and Coastal Archaeology,10.1080/15564894.2019.1614115,67,24,,1–22,107,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 4.4 Rapid; 4.8 Catastrophic; 4.10 Anomalous; 5.3.7 Faunal remains; 5.6.2 Archaeology; 5.15.1 Radiocarbon; 6.1.2 Numerical; 7.2 Populations; 7.5 Climate change; 7.19 Cultural change; 7.22 Socio/Politico/Cultural Context; 7.23 Complex; 8.3 Early Holocene (10,000-1500); 9.3 Question-driven; 10.1 Start year; 10.2 End year; 11.3.16 Ireland; 12.2.3 Volcano; 12.3.1 Climate Change; 12.4.1 Flood; 12.4.3 Drought; 13.2 4.2 kya event; 14.7 Palaeo Science; 15.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Peters, D. L.; Buttle, J. M.",2010,"The effects of flow regulation and climatic variability on obstructed drainage and reverse flow contribution in a Northern river-lake-Delta complex, Mackenzie basin headwaters",,Journal Article,River Res. Applic. (River Research and Applications),10.1002/rra.1314,26,9,,1065–1089,1248,1 To do; 2.1 Human-centred; 2.2 Env. centred; 4.7 Rate; 5.14.5 Water level/flow; 5.15.2 Time Series; 6.1.1 Statistical; 7.6 Human activity; 7.25 Climate & circulation; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.5.1.9 Canada; 12.4.1 Flood; 12.4.3 Drought; 14.2 Earth Science; 14.5 Hydrology; 15.1 Completed; 18 Cluster 2; 21 Complete set,
TRUE,FALSE,FALSE,"Singh, Deepti; Ghosh, Subimal; Roxy, Mathew K.; McDermid, Sonali",2019,"Indian summer monsoon: Extreme events, historical changes, and role of anthropogenic forcings",,Journal Article,WIREs Clim Change (Wiley Interdisciplinary Reviews: Climate Change),10.1002/wcc.571,10,2,,12653,,"1 To do; 2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.2 Analogously; 3.4 Statistically; 4.6 Disaster; 4.10 Anomalous; 4.13 Impact; 4.17 Magnitude; 4.18 High-magnitude; 4.28 Severe; 4.54 Short-lived; 5.12.3 Examples/Cases; 5.13.10 Precipitation; 6.2.2 Review; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.6 Human activity; 7.7 Health & psychology; 7.8 Management; 7.10 Agriculture; 7.11 Land use & landscape changes; 7.21 Loss and damage; 7.24 Vulnerability; 7.25 Climate & circulation; 7.28 Industrialization & infrastructure; 7.29 Attribution; 7.48 Thresholds/Tipping points; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.5 Review; 10 Chronology; 11.4.9 South Asia; 12.4.1 Flood; 12.4.11.2 Rainfall; 13.27 Flood, Mumbai 2005; 13.28 Flood, Pakistan 2010-2012; 14.3 Climate Science; 16.1 Completed; 17 Cluster 1; 21 Complete set",
TRUE,FALSE,FALSE,"Wu, ShaoFei; Zhang, Xiang; She, Dunxian",2017,Joint pattern of seasonal hydrological droughts and floods alternation in China’s Huai River Basin using the multivariate L-moments,,Journal Article,J Earth Syst Sci (Journal of Earth System Science),10.1007/s12040-017-0824-0,126,4,,3,,1 To do; 2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.4 Statistically; 4.6 Disaster; 4.13 Impact; 4.20 Frequency; 4.39 Destructive; 4.53 Compounding; 5.15.2 Time Series; 5.24 Indeces (Composite); 6.1.1 Statistical; 7.3 Risk; 7.5 Climate change; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.1.2 Eastern China; 12.4.1 Flood; 12.4.3 Drought; 14.2 Earth Science; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Li, Tiantian; Horton, Radley M.; Bader, Daniel A.; Zhou, Maigeng; Liang, Xudong; Ban, Jie; Sun, Qinghua; Kinney, Patrick L.",2016,"Aging Will Amplify the Heat-related Mortality Risk under a Changing Climate: Projection for the Elderly in Beijing, China",,Journal Article,Scientific reports,10.1038/srep28161,6,,,28161,,1 To do; 2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.4 Statistically; 4.11 Hazard; 4.13 Impact; 5.5.2 Population data (modern); 5.5.5 Census; 5.11.1 Air Pollution Levels; 5.13.1 Climate Models (simulation); 5.13.8 Temperature; 5.15.2 Time Series; 5.21 Mortality; 6.1.1 Statistical; 7.3 Risk; 7.4 Adaptation; 7.7 Health & psychology; 7.28 Industrialization & infrastructure; 7.48 Thresholds/Tipping points; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.2 Discovery-driven; 10 Chronology; 11.4.1 China; 12.3.1 Climate Change; 12.4.9 Severe heat/heat wave; 14.1 Social Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Vanos, J. K.; Cakmak, S.; Kalkstein, L. S.; Yagouti, Abderrahmane",2015,Association of weather and air pollution interactions on daily mortality in 12 Canadian cities,,Journal Article,"Air quality, atmosphere, & health",10.1007/s11869-014-0266-7,8,3,,307–320,,1 To do; 2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.4 Statistically; 4.12 Intensity; 4.13 Impact; 4.17 Magnitude; 4.20 Frequency; 4.41 Episode; 4.52 Superlative (somethig-est); 5.11.1 Air Pollution Levels; 5.13.3 Synoptic Weather Conditions; 5.15.2 Time Series; 5.21 Mortality; 6.1.1 Statistical; 7.3 Risk; 7.5 Climate change; 7.7 Health & psychology; 7.8 Management; 7.14 Early warning systems (EWS); 7.22 Socio/Politico/Cultural Context; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.5.1.9 Canada; 12.4.16 Synoptic Weather Extremes; 14.1 Social Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Gardezi, Maaz; Arbuckle, J. Gordon",2019,Spatially Representing Vulnerability to Extreme Rain Events Using Midwestern Farmers' Objective and Perceived Attributes of Adaptive Capacity,,Journal Article,Risk analysis : an official publication of the Society for Risk Analysis,10.1111/risa.12943,39,1,,17–34,,"1 To do; 2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.4 Statistically; 4.13 Impact; 4.14 Exposure; 4.15 Sensitivity; 4.38 Threat; 4.94 Exacerbate; 5.19.2 Questionnaires; 6.1.1 Statistical; 7.1 Resilience; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.6 Human activity; 7.7 Health & psychology; 7.8 Management; 7.10 Agriculture; 7.11 Land use & landscape changes; 7.13 Human perception; 7.24 Vulnerability; 7.36 Systems; 7.53 Trending Extremes; 7.69 Human agency; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.5.1.21 Mid-western, USA; 12.4.11 Severe precipitation; 14.1 Social Science; 16.1 Completed; 17 Cluster 1; 21 Complete set",
TRUE,FALSE,FALSE,"Zuzani, P. N.; Ngongondo, C. S.; Mwale, F. D.; Willems, P.",2019,Examining trends of hydro-meteorological extremes in the Shire River Basin in Malawi,,Journal Article,"Physics and Chemistry of the Earth, Parts A/B/C",10.1016/j.pce.2019.02.007,112,,,91–102,,"1 To do; 2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.4 Statistically; 4.19 frequency-magnitude; 4.20 Frequency; 4.23 Overwhelm/Threshold; 4.43 Excursion-Deviation; 4.48 Exceedence; 4.56 Maximum; 4.59 Minimum; 5.13.8 Temperature; 5.13.10 Precipitation; 5.14.5 Water level/flow; 5.15.2 Time Series; 6.1.1 Statistical; 7.25 Climate & circulation; 7.53 Trending Extremes; 8.1 Contemporary (>1900); 9.1 Hypothesis-driven; 10 Chronology; 11.6.2 Shire River Basin, Malawi; 12.4.1 Flood; 12.4.3 Drought; 12.4.11.2 Rainfall; 14.2 Earth Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
