AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
Quevauviller, P;Adapting to climate change: reducing water-related risks in Europe - EU policy and research considerations;ENVIRONMENTAL SCIENCE & POLICY;40;2011;14;7;722;729;https://doi.org/10.1016/j.envsci.2011.02.008
"Shan, LJ; Zhang, LP; Song, JY; Zhang, YJ; She, DX; Xia, J";Characteristics of dry-wet abrupt alternation events in the middle and lower reaches of the Yangtze River Basin and the relationship with ENSO;JOURNAL OF GEOGRAPHICAL SCIENCES;3;2018;28;8;1039;1058;https://doi.org/10.1007/s11442-018-1540-7
"Vance, L; Eason, T; Cabezas, H; Gorman, ME";Toward a leading indicator of catastrophic shifts in complex systems: Assessing changing conditions in nation states;HELIYON;3;2017;3;12;;;https://doi.org/10.1016/j.heliyon.2017.e00465
"Abbasi, A; Sadeghi-Niaraki, A; Jalili, M; Choi, SM";Enhancing response coordination through the assessment of response network structural dynamics;PLOS ONE;1;2018;13;2;;;https://doi.org/10.1371/journal.pone.0191130
"Liu, XC; Tang, QH; Liu, WF; Yang, H; Groisman, P; Leng, GY; Ciais, P; Zhang, XJ; Sun, S";The asymmetric impact of abundant preceding rainfall on heat stress in low latitudes;ENVIRONMENTAL RESEARCH LETTERS;0;2019;14;4;;;https://doi.org/10.1088/1748-9326/ab018a
"Knapp, AB; Manning, SW";Crisis in Context: The End of the Late Bronze Age in the Eastern Mediterranean;AMERICAN JOURNAL OF ARCHAEOLOGY;34;2016;120;1;99;149;https://doi.org/10.3764/aja.120.1.0099
"Kalicki, T; Fraczek, M; Przepiora, P; Kusztal, P; Klusakiewicz, E; Malega, E";Late Quaternary geomorphology and geoarchaeology in the rivers of the Holy Cross Mountains region, central Europe;QUATERNARY RESEARCH;3;2019;91;2;584;599;https://doi.org/10.1017/qua.2018.55
"Costa, L; Thonicke, K; Poulter, B; Badeck, FW";Sensitivity of Portuguese forest fires to climatic, human, and landscape variables: subnational differences between fire drivers in extreme fire years and decadal averages;REGIONAL ENVIRONMENTAL CHANGE;44;2011;11;3;543;551;https://doi.org/10.1007/s10113-010-0169-6
Riede, F;Doing palaeo-social volcanology: Developing a framework for systematically investigating the impacts of past volcanic eruptions on human societies using archaeological datasets;QUATERNARY INTERNATIONAL;1;2019;499;;266;277;https://doi.org/10.1016/j.quaint.2018.01.027
Deino, AL;Ar-40/Ar-39 dating of Bed I, Olduvai Gorge, Tanzania, and the chronology of early Pleistocene climate change;JOURNAL OF HUMAN EVOLUTION;62;2012;63;2;251;273;https://doi.org/10.1016/j.jhevol.2012.05.004
"Mueller, V; Gray, C; Kosec, K";Heat stress increases long-term human migration in rural Pakistan;NATURE CLIMATE CHANGE;103;2014;4;3;182;185;https://doi.org/10.1038/NCLIMATE2103
"Thorndycraft, VR; Bendle, JM; Benito, G; Davies, BJ; Sancho, C; Palmer, AP; Fabel, D; Medialdea, A; Martin, JRV";Glacial lake evolution and Atlantic-Pacific drainage reversals during deglaciation of the Patagonian Ice Sheet;QUATERNARY SCIENCE REVIEWS;6;2019;203;;102;127;https://doi.org/10.1016/j.quascirev.2018.10.036
"Wang, JJ; Sun, LG; Chen, LQ; Xu, LB; Wang, YH; Wang, XM";The abrupt climate change near 4,400 yr BP on the cultural transition in Yuchisi, China and its global linkage;SCIENTIFIC REPORTS;7;2016;6;;;;https://doi.org/10.1038/srep27723
"Swindles, GT; Morris, PJ; Whitney, B; Galloway, JM; Galka, M; Gallego-Sala, A; Macumber, AL; Mullan, D; Smith, MW; Amesbury, MJ; Roland, TP; Sanei, H; Patterson, RT; Sanderson, N; Parry, L; Charman, DJ; Lopez, O; Valderamma, E; Watson, EJ; Ivanovic, RF; Valdes, PJ; Turner, TE; Lahteenoja, O";Ecosystem state shifts during long-term development of an Amazonian peatland;GLOBAL CHANGE BIOLOGY;9;2018;24;2;738;757;https://doi.org/10.1111/gcb.13950
"Genries, A; Morin, X; Chauchard, S; Carcaillet, C";The function of surface fires in the dynamics and structure of a formerly grazed old subalpine forest;JOURNAL OF ECOLOGY;27;2009;97;4;728;741;https://doi.org/10.1111/j.1365-2745.2009.01518.x
"Mileu, N; Rodrigues, AC; Valente, A";FLOOD RISK MANAGEMENT: IMPLEMENTATION OF THE EUROPEAN DIRECTIVE 2007/60/EC IN THE AUTONOMOUS REGION OF MADEIRA;FINISTERRA-REVISTA PORTUGUESA DE GEOGRAFIA;0;2019;54;112;97;112;https://doi.org/10.18055/Finis15157
"Wang, ZQ; Jiang, JY; Ma, Q";The drought risk of maize in the farming-pastoral ecotone in Northern China based on physical vulnerability assessment;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;1;2016;16;12;2697;2711;https://doi.org/10.5194/nhess-16-2697-2016
"Ohlberger, J; Langangen, O";Population resilience to catastrophic mortality events during early life stages;ECOLOGICAL APPLICATIONS;9;2015;25;5;1348;1356;https://doi.org/10.1890/14-1534.1
"Lind-Riehl, J; Gailing, O";Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis;PLANT SYSTEMATICS AND EVOLUTION;6;2015;301;6;1601;1612;https://doi.org/10.1007/s00606-014-1173-y
Soares, MD;Climate change and regional human pressures as challenges for management in oceanic islands, South Atlantic;MARINE POLLUTION BULLETIN;1;2018;131;;347;355;https://doi.org/10.1016/j.marpolbul.2018.04.008
"Zoumakis, M; Papadakis, N; Benos, A; Zoumakis, N; Prevezanos, M; Vosniakos, F; Karakolios, E; Kassomenos, P; Tzekis, P";HEAT-RELATED MORTALITY IN THE MUNICIPALITY OF THESSALONIKI DURING THE PERIOD FROM 1945 TO 2012;JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY;1;2013;14;3;1140;1147;https://doi.org/
Bernhardt, C;Native Americans, regional drought and tree island evolution in the Florida Everglades;HOLOCENE;9;2011;21;6;967;978;https://doi.org/10.1177/0959683611400204
"Shen, ZW; Liu, JB; Xie, CL; Zhang, XS; Chen, FH";An environmental perturbation at AD 600 and subsequent human impacts recorded by multi-proxy records from the sediments of Lake Mayinghai, North China;HOLOCENE;0;2018;28;12;1870;1880;https://doi.org/10.1177/0959683618798159
"Valchev, NN; Trifonova, EV; Andreeva, NK";Past and recent trends in the western Black Sea storminess;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;39;2012;12;4;961;977;https://doi.org/10.5194/nhess-12-961-2012
"Chepstow-Lusty, AJ; Frogley, MR; Bauer, BS; Leng, MJ; Cundy, AB; Boessenkool, KP; Gioda, A";Evaluating socio-economic change in the Andes using oribatid mite abundances as indicators of domestic animal densities;JOURNAL OF ARCHAEOLOGICAL SCIENCE;17;2007;34;7;1178;1186;https://doi.org/10.1016/j.jas.2006.12.023
"Zhang, WC; Yan, H; Cheng, P; Lu, FY; Li, M; Dodson, J; Zhou, WJ; An, ZS";Peatland development and climate changes in the Dajiuhu basin, central China, over the last 14,100 years;QUATERNARY INTERNATIONAL;6;2016;425;;273;281;https://doi.org/10.1016/j.quaint.2016.06.039
Johnson, CN;What can the data on late survival of Australian megafauna tell us about the cause of their extinction?;QUATERNARY SCIENCE REVIEWS;22;2005;24;20-21;2167;2172;https://doi.org/10.1016/j.quascirev.2005.06.006
"Chiverrell, RC; Foster, GC; Marshall, P; Harvey, AM; Thomas, GSP";Coupling relationships: Hillslope-fluvial linkages in the Hodder catchment, NW England;GEOMORPHOLOGY;16;2009;109;04. Mar;222;235;https://doi.org/10.1016/j.geomorph.2009.03.004
"Huang, CC; Pang, J; Su, H; Yang, Q; Ha, Y";Climatic and anthropogenic impacts on soil formation in the semiarid loess tablelands in the middle reaches of the Yellow River, China;JOURNAL OF ARID ENVIRONMENTS;25;2007;71;3;280;298;https://doi.org/10.1016/j.jaridenv.2007.03.010
"Xu, XT; Piao, SL; Wang, XH; Chen, AP; Ciais, P; Myneni, RB";Spatio-temporal patterns of the area experiencing negative vegetation growth anomalies in China over the last three decades;ENVIRONMENTAL RESEARCH LETTERS;36;2012;7;3;;;https://doi.org/10.1088/1748-9326/7/3/035701
"Mendizabal, M; Sepulveda, J; Torp, P";Climate Change Impacts on Flood Events and Its Consequences on Human in Deba River;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH;10;2014;8;1;221;230;https://doi.org/
"Li, XQ; Zhou, WJ; An, ZS; Dodson, J";The vegetation and monsoon variations at the desert-loess transition belt at Midiwan in northern China for the last 13 ka;HOLOCENE;49;2003;13;5;779;784;https://doi.org/10.1191/0959683603hl664rr
"Conlon, K; Monaghan, A; Hayden, M; Wilhelmi, O";Potential Impacts of Future Warming and Land Use Changes on Intra-Urban Heat Exposure in Houston, Texas;PLOS ONE;12;2016;11;2;;;https://doi.org/10.1371/journal.pone.0148890
"Kelly-Yong, TL; Lee, KT; Mohamed, AR; Bhatia, S";Potential of hydrogen from oil palm biomass as a source of renewable energy worldwide;ENERGY POLICY;160;2007;35;11;5692;5701;https://doi.org/10.1016/j.enpol.2007.06.017
"Kirchmeier-Young, MC; Gillett, NP; Zwiers, FW; Cannon, AJ; Anslow, FS";Attribution of the Influence of Human-Induced Climate Change on an Extreme Fire Season;EARTHS FUTURE;5;2019;7;1;2;10;https://doi.org/10.1029/2018EF001050
"Tolo, S; Patelli, E; Beer, M";Robust vulnerability analysis of nuclear facilities subject to external hazards;STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT;4;2017;31;10;2733;2756;https://doi.org/10.1007/s00477-016-1360-1
Haberle, SG;Late quaternary vegetation dynamics and human impact on Alexander Selkirk Island, Chile;JOURNAL OF BIOGEOGRAPHY;23;2003;30;2;239;255;https://doi.org/10.1046/j.1365-2699.2003.00780.x
"Wetz, JJ; Blackwood, AD; Fries, JS; Williams, ZF; Noble, RT";Trends in total Vibrio spp. and Vibrio vulnificus concentrations in the eutrophic Neuse River Estuary, North Carolina, during storm events;AQUATIC MICROBIAL ECOLOGY;32;2008;53;1;141;149;https://doi.org/10.3354/ame01223
"HANDS, MR; FRENCH, JR; ONEILL, A";REEF STRESS AT CAHUITA POINT, COSTA-RICA - ANTHROPOGENICALLY ENHANCED SEDIMENT INFLUX OR NATURAL GEOMORPHIC CHANGE;JOURNAL OF COASTAL RESEARCH;12;1993;9;1;11;25;https://doi.org/
"Wang, LX; Brook, GA; Burney, DA; Voarintsoa, NRG; Liang, FY; Cheng, H; Edwards, RL";The African Humid Period, rapid climate change events, the timing of human colonization, and megafaunal extinctions in Madagascar during the Holocene: Evidence from a 2m Anjohibe Cave stalagmite;QUATERNARY SCIENCE REVIEWS;1;2019;210;;136;153;https://doi.org/10.1016/j.quascirev.2019.02.004
"Sharples, JJ; Cary, GJ; Fox-Hughes, P; Mooney, S; Evans, JP; Fletcher, MS; Fromm, M; Grierson, PF; Mcrae, R; Baker, P";Natural hazards in Australia: extreme bushfire;CLIMATIC CHANGE;24;2016;139;1;85;99;https://doi.org/10.1007/s10584-016-1811-1
"Fernandez-Montes, S; Rodrigo, FS";Trends in surface air temperatures, precipitation and combined indices in the southeastern Iberian Peninsula (1970-2007);CLIMATE RESEARCH;8;2015;63;1;43;60;https://doi.org/10.3354/cr01287
Barman, NK;Sustainable Coastal Zone Management Strategies for Unconsolidated Deltaic Odisha, the Northern Part of East Indian Coast;BEACH MANAGEMENT TOOLS - CONCEPTS, METHODOLOGIES AND CASE STUDIES;1;2018;24;;755;778;https://doi.org/10.1007/978-3-319-58304-4_38
"Macklin, MG; Lewin, J; Woodward, JC";The fluvial record of climate change;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES;70;2012;370;1966;2143;2172;https://doi.org/10.1098/rsta.2011.0608
"Goubert, C; Henri, H; Minard, G; Moro, CV; Mavingui, P; Vieira, C; Boulesteix, M";High-throughput sequencing of transposable element insertions suggests adaptive evolution of the invasive Asian tiger mosquito towards temperate environments;MOLECULAR ECOLOGY;11;2017;26;15;3968;3981;https://doi.org/10.1111/mec.14184
"Wang, Y; Li, Y; Di Sabatino, S; Martilli, A; Chan, PW";Effects of anthropogenic heat due to air-conditioning systems on an extreme high temperature event in Hong Kong;ENVIRONMENTAL RESEARCH LETTERS;7;2018;13;3;;;https://doi.org/10.1088/1748-9326/aaa848
"Magalhaes, SD; Miranda, DK; de Miranda, DM; Malloy-Diniz, LF; Romano-Silva, MA";The Extreme Climate Event Database (EXCEED): Development of a picture database composed of drought and flood stimuli;PLOS ONE;0;2018;13;9;;;https://doi.org/10.1371/journal.pone.0204093
"Papalexiou, SM; AghaKouchak, A; Trenberth, KE; Foufoula-Georgiou, E";Global, Regional, and Megacity Trends in the Highest Temperature of the Year: Diagnostics and Evidence for Accelerating Trends;EARTHS FUTURE;24;2018;6;1;71;79;https://doi.org/10.1002/2017EF000709
"Cunha, PP; Martins, AA; Daveau, S; Friend, PF";Tectonic control of the Tejo river fluvial incision during the late Cenozoic, in Rodao - central Portugal (Atlantic Iberian border);GEOMORPHOLOGY;62;2005;64;04. Mar;271;298;https://doi.org/10.1016/j.geomorph.2004.07.004
"Yang, WF; Zhao, XF; Zhang, F; Fang, ZM; Ma, HY; Chen, M; Qiu, YS; Zheng, MF";Identification of the earlier human-induced sedimentation change in Daya Bay, northern South China Sea using Pb-210 and Cs-137;MARINE POLLUTION BULLETIN;4;2018;126;;334;337;https://doi.org/10.1016/j.marpolbul.2017.11.025
"Butt, N; Shanahan, DF; Shumway, N; Bekessy, SA; Fuller, RA; Watson, JEM; Maggini, R; Hole, DG";Opportunities for biodiversity conservation as cities adapt to climate change;GEO-GEOGRAPHY AND ENVIRONMENT;1;2018;5;1;;;https://doi.org/10.1002/geo2.52
"Zhang, S; Kostyuchenko, VA; Ng, TS; Lim, XN; Ooi, JSG; Lambert, S; Tan, TY; Widman, DG; Shi, J; Baric, RS; Lok, SM";Neutralization mechanism of a highly potent antibody against Zika virus;NATURE COMMUNICATIONS;49;2016;7;;;;https://doi.org/10.1038/ncomms13679
"Werry, JM; Sumpton, W; Otway, NM; Lee, SY; Haig, JA; Mayer, DG";Rainfall and sea surface temperature: key drivers for occurrence of bull shark, Carcharhinus leucas, in beach areas;GLOBAL ECOLOGY AND CONSERVATION;3;2018;15;;;;https://doi.org/10.1016/j.gecco.2018.e00430
"Tsur, Y; Zemel, A";Bio-economic resource management under threats of environmental catastrophes;ECOLOGICAL RESEARCH;8;2007;22;3;431;438;https://doi.org/10.1007/s11284-007-0361-4
"Maniar, K; Pattnaik, S";Spatiotemporal patterns of surface temperature over western Odisha and eastern Chhattisgarh;SN APPLIED SCIENCES;0;2019;1;9;;;https://doi.org/10.1007/s42452-019-0986-2
Laity, J;Aeolian destabilization along the Mojave River, Mojave Desert, California: Linkages among fluvial, groundwater, and Aeolian systems;PHYSICAL GEOGRAPHY;20;2003;24;3;196;221;https://doi.org/10.2747/0272-3646.24.3.196
"Turney, CSM; Brown, H";Catastrophic early Holocene sea level rise, human migration and the Neolithic transition in Europe;QUATERNARY SCIENCE REVIEWS;81;2007;26;17-18;2036;2041;https://doi.org/10.1016/j.quascirev.2007.07.003
Varki, A;Uniquely human evolution of sialic acid genetics and biology;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;158;2010;107;;8939;8946;https://doi.org/10.1073/pnas.0914634107
"Breivik, HM; Fossum, G; Solheim, S";Exploring human responses to climatic fluctuations and environmental diversity: Two stories from Mesolithic Norway;QUATERNARY INTERNATIONAL;4;2018;465;;258;275;https://doi.org/10.1016/j.quaint.2016.12.019
"Vegas-Vilarrubia, T; Corella, JP; Perez-Zanon, N; Buchaca, T; Trapote, MC; Lopez, P; Sigro, J; Rull, V";Historical shifts in oxygenation regime as recorded in the laminated sediments of lake Montcortes (Central Pyrenees) support hypoxia as a continental-scale phenomenon;SCIENCE OF THE TOTAL ENVIRONMENT;7;2018;612;;1577;1592;https://doi.org/10.1016/j.scitotenv.2017.08.148
France, RL;Extreme Climatic Upheaval, Emergency Resource Adaptation, and the Emergence of Folkloric Belief: Geomythic Origin of Sea Serpents from Animals Becoming Entangled in Fishing Gear During New England's Nineteenth-Century Social-Ecological Crisis;HUMAN ECOLOGY;0;2019;47;4;499;513;https://doi.org/10.1007/s10745-019-00097-5
Sternberg, T;Transboundary hazard risk: the Gobi desert paradigm;NATURAL HAZARDS;5;2014;72;2;533;548;https://doi.org/10.1007/s11069-013-1022-2
"Li, CL; Leal, W; Nagy, GJ; Wang, J; Ciani, A; Sidsaph, H; Fedoruk, M; Yin, S; Bao, YH; Ayal, DY; Hu, R";Satellite imagery evidence for a multiannual water level decline in Hulun Lake, China, with suggestions to future policy making responses;ERDE;0;2019;150;1;31;39;https://doi.org/10.12854/erde-2019-406
"Pokharia, AK; Agnihotri, R; Sharma, S; Bajpai, S; Nath, J; Kumaran, RN; Negi, BC";Altered cropping pattern and cultural continuation with declined prosperity following abrupt and extreme arid event at similar to 4,200 yrs BP: Evidence from an Indus archaeological site Khirsara, Gujarat, western India;PLOS ONE;9;2017;12;10;;;https://doi.org/10.1371/journal.pone.0185684
"Santos, J; Corte-Real, J";Temperature extremes in Europe and wintertime large-scale atmospheric circulation: HadCM3 future scenarios;CLIMATE RESEARCH;27;2006;31;1;3;18;https://doi.org/10.3354/cr031003
"Giordan, D; Cignetti, M; Baldo, M; Godone, D";Relationship between man-made environment and slope stability: the case of 2014 rainfall events in the terraced landscape of the Liguria region (northwestern Italy);GEOMATICS NATURAL HAZARDS & RISK;7;2017;8;2;1833;1852;https://doi.org/10.1080/19475705.2017.1391129
"Descroix, L; Genthon, P; Amogu, O; Rajot, JL; Sighomnou, D; Vauclin, M";Change in Sahelian Rivers hydrograph: The case of recent red floods of the Niger River in the Niamey region;GLOBAL AND PLANETARY CHANGE;53;2012;;;18;30;https://doi.org/10.1016/j.gloplacha.2012.07.009
"Wicks, K; Mithen, S";The impact of the abrupt 8.2 ka cold event on the Mesolithic population of western Scotland: a Bayesian chronological analysis using 'activity events' as a population proxy;JOURNAL OF ARCHAEOLOGICAL SCIENCE;28;2014;45;;240;269;https://doi.org/10.1016/j.jas.2014.02.003
"Junk, J; Goergen, K; Krein, A";Future Heat Waves in Different European Capitals Based on Climate Change Indicators;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;0;2019;16;20;;;https://doi.org/10.3390/ijerph16203959
"Glur, L; Wirth, SB; Buntgen, U; Gilli, A; Haug, GH; Schar, C; Beer, J; Anselmetti, FS";Frequent floods in the European Alps coincide with cooler periods of the past 2500 years;SCIENTIFIC REPORTS;42;2013;3;;;;https://doi.org/10.1038/srep02770
"Hong, B; Uchida, M; Hong, YT; Peng, HJ; Kondo, M; Ding, HW";The respective characteristics of millennial-scale changes of the India summer monsoon in the Holocene and the Last Glacial;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;3;2018;496;;155;165;https://doi.org/10.1016/j.palaeo.2018.01.033
"Arbuthnott, K; Hajat, S; Heaviside, C; Vardoulakis, S";Changes in population susceptibility to heat and cold over time: assessing adaptation to climate change;ENVIRONMENTAL HEALTH;31;2016;15;;;;https://doi.org/10.1186/s12940-016-0102-7
"Leyk, S; Runfola, D; Nawrotzki, RJ; Hunter, LM; Riosmena, F";Internal and International Mobility as Adaptation to Climatic Variability in Contemporary Mexico: Evidence from the Integration of Census and Satellite Data;POPULATION SPACE AND PLACE;2;2017;23;6;;;https://doi.org/10.1002/psp.2047
"Wu, CS; Ji, CC; Shi, BW; Wang, YP; Gao, JH; Yang, Y; Mu, JB";The impact of climate change and human activities on streamflow and sediment load in the Pearl River basin;INTERNATIONAL JOURNAL OF SEDIMENT RESEARCH;0;2019;34;4;307;321;https://doi.org/10.1016/j.ijsrc.2019.01.002
"Doring, M; Ratter, B";The regional framing of climate change: towards a place-based perspective on regional climate change perception in north Frisia;JOURNAL OF COASTAL CONSERVATION;5;2018;22;1;131;143;https://doi.org/10.1007/s11852-016-0478-0
"Dahri, N; Abida, H";Monte Carlo simulation-aided analytical hierarchy process (AHP) for flood susceptibility mapping in Gabes Basin (southeastern Tunisia);ENVIRONMENTAL EARTH SCIENCES;11;2017;76;7;;;https://doi.org/10.1007/s12665-017-6619-4
Saha, CK;Dynamics of disaster-induced risk in southwestern coastal Bangladesh: an analysis on tropical Cyclone Aila 2009;NATURAL HAZARDS;18;2015;75;1;727;754;https://doi.org/10.1007/s11069-014-1343-9
"Zeiger, SJ; Hubbart, JA";Rainfall-stream flow responses in a mixed-land-use and municipal watershed of the central USA;ENVIRONMENTAL EARTH SCIENCES;4;2018;77;12;;;https://doi.org/10.1007/s12665-018-7630-0
Stammler-Gossmann, A;'Translating' Vulnerability at the Community Level: Case Study From the Russian North;COMMUNITY ADAPTATION AND VULNERABILITY IN ARCTIC REGIONS;14;2010;;;131;162;https://doi.org/10.1007/978-90-481-9174-1_6
"Ayyappan, N; Stephen, A; Muthusankar, G; Jeyakumar, S; Presena, J";Spatio-temporal changes in fringe mangrove extent in Pondicherry, India after two phenomenal perturbations: tsunami and cyclone Thane;TROPICAL ECOLOGY;2;2016;57;2;361;368;https://doi.org/
"Blockley, SPE; Pinhasi, R";A revised chronology for the adoption of agriculture in the Southern Levant and the role of Lateglacial climatic change;QUATERNARY SCIENCE REVIEWS;34;2011;30;02. Jan;98;108;https://doi.org/10.1016/j.quascirev.2010.09.021
"Wooster, MJ; Perry, GLW; Zoumas, A";Fire, drought and El Nino relationships on Borneo (Southeast Asia) in the pre-MODIS era (1980-2000);BIOGEOSCIENCES;59;2012;9;1;317;340;https://doi.org/10.5194/bg-9-317-2012
"Lespez, L; Glais, A; Lopez-Saez, JA; Le Drezen, Y; Tsirtsoni, Z; Davidson, R; Biree, L; Malamidou, D";Middle Holocene rapid environmental changes and human adaptation in Greece;QUATERNARY RESEARCH;11;2016;85;2;227;244;https://doi.org/10.1016/j.yqres.2016.02.002
"Gallardo, L; Olivares, G; Langner, J; Aarhus, B";Coastal lows and sulfur air pollution in Central Chile;ATMOSPHERIC ENVIRONMENT;28;2002;36;23;3829;3841;https://doi.org/10.1016/S1352-2310(02)00285-6
"Brand, MW; Dewoolkar, MM; Rizzo, DM";Use of sacrificial embankments to minimize bridge damage from scour during extreme flow events;NATURAL HAZARDS;1;2017;87;3;1469;1487;https://doi.org/10.1007/s11069-017-2829-z
ACREMAN, M;THE FLOOD OF JULY 25TH 1983 ON THE HERMITAGE WATER, ROXBURGHSHIRE;SCOTTISH GEOGRAPHICAL MAGAZINE;22;1991;107;3;170;178;https://doi.org/10.1080/00369229118736826
"Khan, A; Chatterjee, S";Quantification of Vulnerability;COASTAL RISK ASSESSMENT: A COMPREHENSIVE FRAMEWORK FOR THE BAY OF BENGAL;0;2018;;;43;56;https://doi.org/10.1007/978-3-319-69992-9_3
"Li, CX; Fan, DD; Deng, B; Korotaev, V";The coasts of China and issues of sea level rise;JOURNAL OF COASTAL RESEARCH;14;2004;;;36;49;https://doi.org/
"Bahru, BA; Bosch, C; Birner, R; Zeller, M";Drought and child undernutrition in Ethiopia: A longitudinal path analysis;PLOS ONE;1;2019;14;6;;;https://doi.org/10.1371/journal.pone.0217821
"Cowburn, B; Moritz, C; Grimsditch, G; Solandt, JL";Evidence of coral bleaching avoidance, resistance and recovery in the Maldives during the 2016 mass-bleaching event;MARINE ECOLOGY PROGRESS SERIES;0;2019;626;;53;67;https://doi.org/10.3354/meps13044
"Kubicek, A; Reuter, H";Mechanics of multiple feedbacks in benthic coral reef communities;ECOLOGICAL MODELLING;4;2016;329;;29;40;https://doi.org/10.1016/j.ecolmodel.2016.02.018
"Baklanov, A; Grimmond, CSB; Carlson, D; Terblanche, D; Tang, X; Bouchet, V; Lee, B; Langendijk, G; Kolli, RK; Hovsepyan, A";From urban meteorology, climate and environment research to integrated city services;URBAN CLIMATE;22;2018;23;;330;341;https://doi.org/10.1016/j.uclim.2017.05.004
"Catt, JA; Maslin, MA";The Prehistoric Human Time Scale;GEOLOGIC TIME SCALE 2012, VOLS 1 & 2;1;2012;;;1011;1032;https://doi.org/10.1016/B978-0-444-59425-9.00031-7
"Kaniewski, D; Van Campo, E; Weiss, H";Drought is a recurring challenge in the Middle East;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;52;2012;109;10;3862;3867;https://doi.org/10.1073/pnas.1116304109
"Yang, XP; Scuderi, LA; Wang, XL; Scuderi, LJ; Zhang, DG; Li, HW; Forman, S; Xu, QH; Wang, RC; Huang, WW; Yang, SX";Groundwater sapping as the cause of irreversible desertification of Hunshandake Sandy Lands, Inner Mongolia, northern China;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;47;2015;112;3;702;706;https://doi.org/10.1073/pnas.1418090112
"MacGregor, LJ; Pulvermuller, F; van Casteren, M; Shtyrov, Y";Ultra-rapid access to words in the brain;NATURE COMMUNICATIONS;83;2012;3;;;;https://doi.org/10.1038/ncomms1715
"de Castro, JMB; Martinon-Torres, M; Gomez-Robles, A; Prado-Simon, L; Martin-Frances, L; Lapresa, M; Olejniczak, A; Carbonell, E";Early Pleistocene human mandible from Sima del Elefante (TE) cave site in Sierra de Atapuerca (Spain): A comparative morphological study;JOURNAL OF HUMAN EVOLUTION;54;2011;61;1;12;25;https://doi.org/10.1016/j.jhevol.2011.03.005
Strader, SM;Spatiotemporal changes in conterminous US wildfire exposure from 1940 to 2010;NATURAL HAZARDS;2;2018;92;1;543;565;https://doi.org/10.1007/s11069-018-3217-z
"Diserud, OH; Aagaard, K";Testing for changes in community structure based on repeated sampling;ECOLOGY;8;2002;83;8;2271;2277;"https://doi.org/10.1890/0012-9658(2002)083[2271:TFCICS]2.0.CO;2"
Connon, ILC;Extreme Extreme weather, complex spaces and diverse rural places: An intra-community scale analysis of responses to storm events in rural Scotland, UK;JOURNAL OF RURAL STUDIES;0;2017;54;;111;125;https://doi.org/10.1016/j.jrurstud.2017.06.015
"Trenberth, KE; Cheng, LJ; Jacobs, P; Zhang, YX; Fasullo, J";Hurricane Harvey Links to Ocean Heat Content and Climate Change Adaptation;EARTHS FUTURE;34;2018;6;5;730;744;https://doi.org/10.1029/2018EF000825
"Gotschke, J; Mertsch, P; Bischof, M; Kneidinger, N; Matthes, S; Renner, ED; Schultz, K; Traidl-Hoffmann, C; Duchna, HW; Behr, J; Schmude, J; Huber, RM; Milger, K";Perception of climate change in patients with chronic lung disease;PLOS ONE;2;2017;12;10;;;https://doi.org/10.1371/journal.pone.0186632
McCallum, ML;Vertebrate biodiversity losses point to a sixth mass extinction;BIODIVERSITY AND CONSERVATION;27;2015;24;10;2497;2519;https://doi.org/10.1007/s10531-015-0940-6
"Di Giusto, B; Lavallee, JP; Yu, TY";Towards an East Asian model of climate change awareness: A questionnaire study among university students in Taiwan;PLOS ONE;3;2018;13;10;;;https://doi.org/10.1371/journal.pone.0206298
"Matthews-Bird, F; Brooks, SJ; Gosling, WD; Gulliver, P; Mothes, P; Montoya, E";Aquatic community response to volcanic eruptions on the Ecuadorian Andean flank: evidence from the palaeoecological record;JOURNAL OF PALEOLIMNOLOGY;3;2017;58;4;437;453;https://doi.org/10.1007/s10933-017-0001-0
"Schmidt, I; Bradtmoller, M; Kehl, M; Pastoors, A; Tafelmaier, Y; Weninger, B; Weniger, GC";Rapid climate change and variability of settlement patterns in Iberia during the Late Pleistocene;QUATERNARY INTERNATIONAL;61;2012;274;;179;204;https://doi.org/10.1016/j.quaint.2012.01.018
"Zhang, D; Zhang, Q; Qiu, JM; Bai, P; Liang, K; Li, XH";Intensification of hydrological drought due to human activity in the middle reaches of the Yangtze River, China;SCIENCE OF THE TOTAL ENVIRONMENT;17;2018;637;;1432;1442;https://doi.org/10.1016/j.scitotenv.2018.05.121
